ID_cliente,segmento_oculto,score_crediticio,ingresos_mensuales,uso_credito,historial_impagos,frecuencia_pago,saldo_actual,antiguedad_cliente,comportamiento_app,prob_impago,impago,cluster_kmeans,prob_base,prob_combined
C00036,alto_riesgo,577.21,9035.27,0.734,1,3.92,5395.06,23.1,bajo,0.012,0,3,0.5017994062867185,0.5856686505705806
C00037,bajo_riesgo,722.24,16043.92,0.476,0,8.27,843.43,6.9,alto,0.0007,0,0,0.0015056606667756284,0.004275526473754406
C00038,medio_riesgo,521.1,6964.55,0.409,0,3.09,3354.76,47.0,medio,0.0073,0,4,0.26015097847004803,0.4515969525291489
C00039,medio_riesgo,593.04,14406.3,0.292,0,6.82,3276.4,35.4,medio,0.0012,0,2,0.04881164912255086,0.07463651043932698
C00040,bajo_riesgo,843.54,12529.54,0.384,0,6.04,1525.57,26.0,alto,0.0009,0,0,0.0023067610846498774,0.0034488937329381344
C00041,alto_riesgo,622.88,6240.55,0.502,1,0.0,8290.84,46.9,bajo,0.0139,0,1,0.57223080120759,0.620210595842867
C00042,medio_riesgo,600.74,7323.85,0.099,0,3.83,3183.91,37.3,medio,0.0037,0,4,0.19819993747480152,0.6441815374350746
C00043,bajo_riesgo,738.89,17675.83,0.205,0,8.06,5299.51,37.6,alto,0.0004,0,0,0.0013967630989626275,0.0023788552143995693
C00044,bajo_riesgo,736.42,13623.34,0.306,0,8.85,1480.56,20.0,medio,0.0009,0,2,0.030784085372420094,0.04645827487787731
C00045,medio_riesgo,587.99,6302.39,0.506,0,4.64,2155.98,47.8,medio,0.0076,0,4,0.20989995019880106,0.5180931572141425
C00046,bajo_riesgo,809.76,20674.97,0.03,0,7.33,1154.24,14.8,medio,0.0001,0,2,0.01371732047726588,0.042159876300380025
C00047,bajo_riesgo,777.12,19788.14,0.227,0,6.45,2426.46,3.6,alto,0.0002,0,0,0.0011591716880532399,0.0020487877164673237
C00048,bajo_riesgo,814.58,15321.02,0.026,0,5.19,2963.34,17.8,alto,0.0004,0,0,0.0019668208051178806,0.003148393480413669
C00049,medio_riesgo,554.1,5602.74,0.539,1,4.33,928.19,32.4,bajo,0.0201,0,3,0.5056107379102818,0.697133397069753
C00050,medio_riesgo,605.78,6028.15,0.449,0,4.87,5465.48,4.5,bajo,0.0071,0,3,0.3956606353183047,0.6020690611650789
C00051,bajo_riesgo,781.33,16208.54,0.154,0,3.25,4783.24,57.8,medio,0.0004,0,2,0.04464653722511271,0.11935852859732143
C00052,alto_riesgo,523.69,5022.26,0.797,1,1.94,4714.79,57.1,bajo,0.0333,0,5,0.7637586593411233,0.8052193334134699
C00053,alto_riesgo,600.73,6433.18,0.86,2,1.8,10891.85,9.4,bajo,0.0428,0,1,0.734877858127475,0.8683511462185355
C00054,medio_riesgo,543.97,9055.15,0.418,1,5.83,2319.9,45.5,medio,0.0091,0,4,0.24001812410380255,0.4357822124491103
C00055,bajo_riesgo,769.06,17579.17,0.314,0,4.98,6128.18,7.9,alto,0.0004,0,0,0.002310302504037669,0.003935698075954692
C00056,bajo_riesgo,792.58,17416.04,0.065,0,5.87,3385.33,56.2,alto,0.0003,0,0,0.0013946515176046453,0.004123676051656175
C00057,medio_riesgo,610.1,9052.57,0.174,0,4.58,3526.01,37.1,bajo,0.0028,0,3,0.26382595469669834,0.4681737589278276
C00058,medio_riesgo,567.86,8421.27,0.436,1,3.11,4426.88,7.7,medio,0.0098,0,4,0.3658861337781828,0.5836792135288353
C00059,alto_riesgo,407.84,3823.21,0.749,2,0.0,5290.6,18.0,bajo,0.1053,0,5,0.9198072223456851,0.9291399294577183
C00060,medio_riesgo,566.77,9973.79,0.286,0,2.14,1620.52,50.5,medio,0.003,0,4,0.18240378888313052,0.23974276026173902
C00061,bajo_riesgo,851.19,14902.04,0.172,0,5.87,786.76,43.0,medio,0.0004,0,2,0.027483904681307982,0.04260864083412241
C00062,medio_riesgo,654.81,8451.52,0.29,0,1.7,1767.55,54.5,medio,0.0032,0,4,0.19364462394218446,0.2470817088735053
C00063,medio_riesgo,640.96,10716.64,0.273,0,4.88,3302.66,23.9,medio,0.002,0,4,0.13187458911188435,0.4054704504067267
C00064,medio_riesgo,551.3,10599.64,0.297,0,0.0,2485.94,18.2,medio,0.0028,0,4,0.24292733643076087,0.2972510628343554
C00065,bajo_riesgo,744.84,14628.1,0.07,0,9.95,313.44,11.5,medio,0.0005,0,2,0.021089175962126165,0.055981140806033516
C00066,medio_riesgo,734.02,6640.32,0.336,1,2.0,8446.67,7.2,medio,0.0076,0,4,0.43037220284753946,0.503964139954054
C00067,bajo_riesgo,786.87,17210.91,0.141,0,6.96,2271.47,14.9,medio,0.0003,0,2,0.0242326848257303,0.039779956116063664
C00068,bajo_riesgo,761.74,13569.73,0.137,0,5.5,17560.4,48.1,alto,0.0007,0,0,0.005938729294765731,0.009622461973998136
C00069,medio_riesgo,639.76,7591.12,0.134,0,0.0,451.0,46.9,bajo,0.0032,0,3,0.36102577781753065,0.40852744938300894
C00070,alto_riesgo,435.18,4220.86,0.49,0,2.09,3237.92,0.9,bajo,0.0178,0,3,0.5760344683404819,0.7493510931930699
C00071,alto_riesgo,535.1,2126.93,0.832,1,3.25,2730.75,21.2,bajo,0.0583,0,5,0.7856027086087201,0.9311504927374082
C00072,medio_riesgo,598.07,4585.7,0.372,2,0.0,1341.8,39.6,medio,0.0351,0,4,0.6201249555771517,0.6516835549268336
C00073,bajo_riesgo,788.29,13649.99,0.191,0,7.19,2564.13,20.1,alto,0.0007,0,0,0.0019781755682563395,0.003045265361834307
C00074,bajo_riesgo,846.63,19704.76,0.34,0,7.06,992.84,2.6,medio,0.0002,0,2,0.01665535323239191,0.028888580973569493
C00075,bajo_riesgo,803.61,14346.12,0.144,0,3.13,1729.87,27.7,alto,0.0005,0,0,0.0027064745559903223,0.012975912406141848
C00076,bajo_riesgo,831.13,11186.11,0.072,0,7.94,2227.95,35.8,alto,0.0008,0,0,0.0020013871605226202,0.005117793830198136
C00077,alto_riesgo,497.74,5647.38,0.456,2,0.0,9198.97,40.1,bajo,0.0421,0,5,0.8976422323761826,0.9491711189947262
C00078,bajo_riesgo,789.92,10685.45,0.077,0,5.38,907.23,58.2,alto,0.001,0,0,0.0027218408597075154,0.006841351307954061
C00079,medio_riesgo,627.31,10372.76,0.205,0,1.29,3666.66,22.3,medio,0.0021,0,4,0.20266594643791588,0.531369059824081
C00080,bajo_riesgo,768.22,15746.92,0.082,0,4.32,1448.3,49.2,alto,0.0004,0,0,0.0019332275233920942,0.005461088581285994
C00081,medio_riesgo,577.59,12995.68,0.13,1,4.39,943.99,47.7,medio,0.0027,0,4,0.16024635772208126,0.22362159918057203
C00082,bajo_riesgo,765.16,14660.65,0.089,0,5.45,2101.43,45.3,alto,0.0005,0,0,0.0020117820095006105,0.005558779345159069
C00083,bajo_riesgo,837.83,14652.61,0.204,0,7.41,3336.5,32.5,medio,0.0005,0,2,0.028981048019139317,0.045056348288138245
C00084,bajo_riesgo,733.1,11976.8,0.099,0,5.2,3228.38,55.1,medio,0.001,0,2,0.05461803562312861,0.13151079856744582
C00085,medio_riesgo,617.43,8376.78,0.181,0,4.07,6620.93,4.4,bajo,0.0031,0,3,0.34963609482884767,0.42750112217222885
C00086,bajo_riesgo,707.52,15272.68,0.089,0,10.43,997.87,13.0,medio,0.0005,0,2,0.02061231975926068,0.05565027892335833
C00087,medio_riesgo,522.36,11560.69,0.41,0,4.78,1717.89,12.6,bajo,0.0029,0,3,0.23928843614100892,0.4481824302607395
C00088,bajo_riesgo,738.4,16814.23,0.037,0,8.12,2797.92,0.9,alto,0.0003,0,0,0.0013678797298684769,0.0022639069883656207
C00089,bajo_riesgo,777.65,14013.56,0.03,0,5.06,431.96,59.4,medio,0.0005,0,2,0.03401463542631812,0.144194874236047
C00090,medio_riesgo,590.83,6143.34,0.286,0,5.06,1291.94,2.0,bajo,0.006,0,3,0.3237692303367483,0.522056025415055
C00091,alto_riesgo,434.33,4033.49,0.45,4,1.36,12212.8,8.7,bajo,0.2279,1,5,0.9757061353919326,0.9810030693732414
C00092,bajo_riesgo,770.37,15133.04,0.011,0,3.79,2899.59,31.5,medio,0.0004,0,2,0.04382549071953842,0.18499960593280065
C00093,alto_riesgo,526.23,8261.36,0.655,1,0.14,9197.9,8.6,bajo,0.0149,0,1,0.6026331465923221,0.7770675937436162
C00094,alto_riesgo,346.72,5919.83,0.635,1,0.0,11879.38,48.7,bajo,0.0387,0,1,0.7436052268236503,0.8625592219331571
C00095,bajo_riesgo,803.81,15957.46,0.08,0,6.08,863.24,23.0,alto,0.0004,0,0,0.001471729334718588,0.0023720591907389833
C00096,medio_riesgo,577.95,8914.61,0.531,0,2.26,4880.36,7.4,bajo,0.0048,0,3,0.4026782696093254,0.6239375515346482
C00097,alto_riesgo,412.53,6128.99,0.533,2,1.6,4750.34,23.7,bajo,0.0534,0,5,0.8649608427638464,0.9366961782377655
C00098,bajo_riesgo,823.13,12058.22,0.18,0,3.34,1308.47,15.0,alto,0.0008,0,0,0.0033574139277567625,0.004960360967049885
C00099,bajo_riesgo,777.22,8453.39,0.317,0,7.04,2202.39,44.1,alto,0.0023,0,0,0.0035218517665753656,0.0048143785779428076
C00100,medio_riesgo,686.87,8422.4,0.401,1,4.19,3056.74,23.3,medio,0.0066,0,4,0.2636558659463135,0.32945218595718295
C00101,bajo_riesgo,785.43,15021.52,0.249,0,4.22,3147.51,52.8,alto,0.0005,0,0,0.0023886404065983735,0.00667492908189055
C00102,alto_riesgo,466.9,6616.8,0.918,0,1.67,7276.54,20.3,bajo,0.0168,0,1,0.4701732374528302,0.5422450550869805
C00103,medio_riesgo,561.55,7702.14,0.188,0,6.71,2950.02,22.8,bajo,0.0043,0,3,0.2594548245667929,0.3210265392078062
C00104,bajo_riesgo,752.98,14959.47,0.014,0,7.35,3649.63,41.9,alto,0.0005,0,0,0.0017016718896596254,0.004763311813582191
C00105,medio_riesgo,574.24,6875.67,0.378,1,5.08,593.0,10.6,medio,0.0122,0,4,0.2901920412375198,0.4860684366204524
C00106,medio_riesgo,630.54,11509.43,0.268,0,0.56,4441.79,43.1,bajo,0.0018,0,3,0.3168573959773578,0.4026321999443802
C00107,alto_riesgo,316.88,4780.8,0.892,1,0.62,911.92,17.3,bajo,0.07,0,5,0.8349960075310139,0.9171425273022342
C00108,medio_riesgo,548.31,9087.92,0.178,0,8.02,1418.19,4.5,medio,0.0033,0,4,0.11645724266532062,0.15432244721824595
C00109,medio_riesgo,593.92,11772.58,0.431,0,5.39,1069.2,53.9,bajo,0.0023,0,3,0.17924285493981382,0.24289003871141215
C00110,bajo_riesgo,771.86,18878.93,0.154,0,6.44,4413.01,31.3,alto,0.0002,0,0,0.0013346059619238659,0.01259941032358889
C00111,bajo_riesgo,731.56,18794.13,0.112,0,7.41,349.48,43.0,alto,0.0003,0,0,0.0009541186477997279,0.005062823456831636
C00112,bajo_riesgo,717.15,16732.63,0.107,0,2.42,7120.53,6.8,alto,0.0004,0,0,0.003818761092283432,0.011220572557632362
C00113,medio_riesgo,542.08,7687.58,0.358,1,1.61,1785.33,17.6,bajo,0.0112,0,3,0.5453518920364611,0.7394972896011003
C00114,bajo_riesgo,846.72,18610.71,0.169,0,5.13,3406.39,29.6,alto,0.0002,0,0,0.0013482987788653658,0.004095761490124275
C00115,bajo_riesgo,745.78,16456.84,0.202,0,5.8,760.97,27.1,medio,0.0004,0,2,0.029283412457838574,0.046890904768813
C00116,bajo_riesgo,806.6,17438.67,0.235,0,7.61,3507.64,53.9,medio,0.0003,0,2,0.021205578299595674,0.1017525361497653
C00117,medio_riesgo,617.93,11413.1,0.409,1,3.49,3822.52,53.8,medio,0.0045,0,4,0.23378051231086827,0.4417560268938995
C00118,bajo_riesgo,800.14,13906.69,0.118,0,5.09,5443.17,57.2,alto,0.0006,0,0,0.00259173956067641,0.004054462104727715
C00119,bajo_riesgo,823.11,12771.74,0.112,0,5.33,5332.94,0.3,alto,0.0006,0,0,0.003155885641061331,0.014778817350153123
C00120,medio_riesgo,697.31,8209.48,0.321,1,3.68,4852.1,5.3,bajo,0.0061,0,3,0.4517204470765174,0.7785496867804558
C00121,bajo_riesgo,744.65,9914.2,0.311,0,3.28,1649.2,9.0,alto,0.0018,0,0,0.00532272227079505,0.013134885350091184
C00122,bajo_riesgo,738.29,14915.13,0.3,0,6.87,2576.72,54.3,alto,0.0007,0,0,0.0018439649533616188,0.002920943192868912
C00123,bajo_riesgo,765.44,18050.07,0.062,0,6.3,856.56,7.2,alto,0.0003,0,0,0.0012521880882376754,0.0021157919135361162
C00124,alto_riesgo,517.83,5155.25,0.639,1,1.51,2066.77,19.3,bajo,0.0274,0,5,0.7516623654704617,0.7935592555681669
C00125,bajo_riesgo,741.7,11760.97,0.056,0,7.26,2115.55,3.6,alto,0.0009,0,0,0.0025599588894635768,0.0037696581640250864
C00126,medio_riesgo,587.46,16082.3,0.183,2,0.58,2874.47,10.9,medio,0.003,0,4,0.32089213488749746,0.43140851716184925
C00127,bajo_riesgo,767.09,13129.79,0.201,0,7.4,1282.56,46.7,alto,0.0008,0,0,0.0018337239033666883,0.0027770696461704484
C00128,alto_riesgo,399.21,5073.34,0.702,1,0.41,7984.82,27.2,bajo,0.0423,0,1,0.7014086576581408,0.8379982931075056
C00129,medio_riesgo,569.78,11006.06,0.5,0,3.66,2023.19,11.4,medio,0.0031,0,4,0.16548598607936651,0.22319769385039104
C00130,medio_riesgo,622.36,7997.83,0.428,0,4.76,5187.88,51.1,bajo,0.0045,0,3,0.3088241437759278,0.37968095242035377
C00131,alto_riesgo,497.43,5054.78,0.818,1,6.4,1284.7,15.8,bajo,0.0366,0,3,0.5191907009667335,0.5770436727128655
C00132,bajo_riesgo,825.63,16760.72,0.467,0,4.04,863.77,33.2,alto,0.0004,0,0,0.0018315913337030637,0.0030052254970078843
C00133,bajo_riesgo,723.16,14006.46,0.047,0,7.59,4031.54,59.4,alto,0.0006,0,0,0.0019138849937072294,0.0029862818133127252
C00134,bajo_riesgo,730.45,16290.75,0.053,2,3.93,1933.73,8.8,medio,0.0016,0,2,0.11748712425851444,0.17847235254904037
C00135,medio_riesgo,559.98,10784.45,0.536,0,3.73,2246.4,53.3,bajo,0.0035,0,3,0.2616111354892936,0.9386114294397055
C00136,medio_riesgo,551.15,17935.32,0.189,0,1.83,1621.33,27.3,medio,0.0006,0,4,0.09094070225324163,0.14472945958783048
C00137,alto_riesgo,588.1,5516.43,0.725,0,2.59,2546.97,50.7,bajo,0.0116,0,3,0.43380908421045483,0.6338973683121497
C00138,bajo_riesgo,809.15,14615.95,0.16,0,9.35,2665.33,42.2,alto,0.0005,0,0,0.0012314319061345134,0.003410965010073998
C00139,medio_riesgo,717.62,10230.66,0.067,1,1.44,5731.13,57.4,medio,0.0028,0,4,0.2750618685489112,0.3538890807719549
C00140,medio_riesgo,518.51,6780.58,0.302,0,3.85,1975.31,47.1,medio,0.0067,0,4,0.22560183384085136,0.2772840921054433
C00141,bajo_riesgo,772.74,20605.02,0.301,0,6.23,865.82,9.6,alto,0.0002,0,0,0.0010015759363737658,0.0031545344814893975
C00142,medio_riesgo,617.34,8824.88,0.462,0,3.25,2521.93,35.8,medio,0.004,0,4,0.19033732144868526,0.36401449461873603
C00143,medio_riesgo,602.08,8640.82,0.276,0,0.0,8183.03,53.2,medio,0.0035,0,4,0.32103272879598077,0.37852769683599485
C00144,bajo_riesgo,788.6,14601.43,0.247,0,5.07,961.06,6.4,medio,0.0006,0,2,0.03935283000875149,0.06025388629334161
C00145,bajo_riesgo,795.37,14639.52,0.167,0,5.55,4266.56,18.1,alto,0.0005,0,0,0.0023750138532870765,0.003761185052384435
C00146,medio_riesgo,623.08,8177.17,0.226,0,5.12,2110.96,19.2,bajo,0.0034,0,3,0.2607645034672964,0.5982208410879685
C00147,medio_riesgo,662.04,4094.09,0.058,1,5.04,1834.09,38.6,medio,0.0111,0,4,0.3050286347620447,0.6279563812266743
C00148,alto_riesgo,575.66,2115.92,0.934,0,1.33,5164.68,57.8,bajo,0.0299,0,1,0.5046778830466986,0.6812593971085096
C00149,medio_riesgo,683.78,8729.39,0.494,2,2.32,5873.93,30.7,bajo,0.014,0,5,0.7393931938627171,0.8746746399613236
C00150,bajo_riesgo,802.42,12200.67,0.028,0,7.72,1224.52,44.0,alto,0.0007,0,0,0.0017503505317691438,0.002595522950441887
C00151,bajo_riesgo,765.95,9996.68,0.189,0,6.2,6442.26,33.1,alto,0.0015,0,0,0.004302833967601913,0.006183267404628998
C00152,bajo_riesgo,790.81,13991.55,0.106,0,8.67,12577.36,39.1,alto,0.0006,0,0,0.0027124167935817143,0.004364592051189337
C00153,bajo_riesgo,859.13,17168.63,0.41,0,4.76,2557.98,54.2,alto,0.0003,0,0,0.0015592810291700202,0.002598709954267499
C00154,medio_riesgo,612.62,9359.54,0.537,0,1.33,2915.63,39.6,medio,0.004,0,4,0.22736622755930808,0.29188677379678796
C00155,bajo_riesgo,790.78,17421.11,0.296,0,5.12,2705.11,22.8,alto,0.0004,0,0,0.001724051655883526,0.0028909371712813525
C00156,medio_riesgo,684.64,11697.99,0.463,1,4.29,2002.03,6.5,medio,0.0037,0,4,0.1966473105082629,0.388252651663482
C00157,bajo_riesgo,775.2,17596.73,0.508,0,5.91,5586.01,0.3,alto,0.0005,0,0,0.0021290231301897018,0.006362937013075442
C00158,alto_riesgo,423.59,4754.3,0.64,3,0.25,3405.19,39.8,bajo,0.1414,0,5,0.9331130839786276,0.9670995981003507
C00159,alto_riesgo,482.35,6018.23,0.775,0,2.17,12018.98,36.1,bajo,0.0152,0,1,0.5167067487170327,0.7167948816695783
C00160,bajo_riesgo,813.62,19434.6,0.117,0,7.61,812.14,12.7,medio,0.0002,0,2,0.015283081681755725,0.026361403173985457
C00161,medio_riesgo,555.54,10036.18,0.39,0,2.25,4164.34,8.5,bajo,0.0035,0,3,0.360863270617107,0.5870144371518717
C00162,bajo_riesgo,822.24,17290.32,0.018,0,3.76,859.72,24.9,alto,0.0002,0,0,0.0015972861781920963,0.008187975217163445
C00163,bajo_riesgo,767.46,15064.66,0.098,0,4.63,1208.17,27.7,alto,0.0005,0,0,0.0021058318765302866,0.010263290933128048
C00164,medio_riesgo,642.43,9616.89,0.204,1,2.43,1177.26,26.2,medio,0.0047,0,4,0.2591090226906139,0.3286615904690761
C00165,alto_riesgo,397.89,5725.6,0.695,0,4.37,4988.99,14.8,bajo,0.0188,0,3,0.5133934277454488,0.7073744610349236
C00166,medio_riesgo,698.02,7818.31,0.437,2,1.75,4137.32,53.1,bajo,0.015,0,5,0.732723134224358,0.788391136750527
C00167,medio_riesgo,683.21,8186.63,0.173,2,2.82,1854.65,15.3,medio,0.0107,0,4,0.405736297697597,0.4812564091225864
C00168,alto_riesgo,462.01,7882.42,0.77,1,0.0,18196.22,34.7,bajo,0.0221,0,1,0.7525734655538011,0.8756661011052699
C00169,alto_riesgo,497.89,10817.58,0.6,2,3.54,2276.29,20.9,bajo,0.0182,0,5,0.6929343146095783,0.8516688166031174
C00170,bajo_riesgo,741.69,11912.32,0.216,0,7.45,5352.81,24.7,alto,0.0011,0,0,0.002985933239668016,0.00446407317149767
C00171,bajo_riesgo,796.93,19248.48,0.242,1,6.15,3933.97,35.0,alto,0.0005,0,0,0.002210262479311259,0.003877895215307366
C00172,alto_riesgo,418.17,6233.66,0.471,2,1.21,1834.99,45.8,bajo,0.0481,1,5,0.835768040126773,0.8687047082297071
C00173,alto_riesgo,564.59,1500.0,0.507,1,2.17,2083.07,56.0,bajo,0.0417,0,3,0.6761038490175615,0.8113646377454714
C00174,bajo_riesgo,805.87,21038.43,0.22,0,5.97,2810.79,6.3,alto,0.0001,0,0,0.0010317400622474198,0.0033048334828290017
C00175,bajo_riesgo,736.35,17629.04,0.042,0,4.32,2898.59,14.2,alto,0.0003,0,0,0.0019550615113037594,0.003295504228352234
C00176,medio_riesgo,703.59,9440.79,0.189,0,3.71,4079.64,23.4,bajo,0.002,0,3,0.25934252852906137,0.6050320520504807
C00177,bajo_riesgo,792.03,19544.71,0.326,0,8.65,8261.66,17.9,alto,0.0002,0,0,0.0012584283114864022,0.003975252788686177
C00178,medio_riesgo,572.23,10096.36,0.488,0,3.93,3347.23,29.6,bajo,0.0037,0,3,0.29082719875986673,0.3690853833267613
C00179,alto_riesgo,704.06,9759.97,0.601,1,6.61,3622.22,17.2,bajo,0.0061,0,3,0.31756880862365733,0.397400663894819
C00180,medio_riesgo,529.35,9257.92,0.6,0,0.0,222.5,54.2,medio,0.0057,0,4,0.2522318102197377,0.4297721894154126
C00181,bajo_riesgo,764.56,19983.5,0.28,0,4.62,4373.0,35.4,medio,0.0002,0,2,0.027693114043967616,0.08240800838599281
C00182,alto_riesgo,487.73,6724.88,0.671,1,0.32,1895.57,46.5,bajo,0.0229,0,5,0.742580028384921,0.8643941343398392
C00183,medio_riesgo,624.06,10598.8,0.396,1,2.69,1374.24,24.3,medio,0.0051,0,4,0.25254320474798914,0.3261052161193458
C00184,bajo_riesgo,797.79,12267.64,0.132,0,4.66,10330.79,29.0,alto,0.0008,0,0,0.00481847940936079,0.007388993350566535
C00185,medio_riesgo,716.13,14771.48,0.269,1,1.48,11653.08,1.6,medio,0.0015,0,4,0.28707448205894415,0.3969645857684042
C00186,bajo_riesgo,753.91,12859.08,0.167,0,4.18,3972.07,16.3,alto,0.0008,0,0,0.003645242861688755,0.01698813729743767
C00187,medio_riesgo,644.43,8403.93,0.305,1,1.78,772.72,28.0,medio,0.0067,0,4,0.302649606212045,0.3711666967362549
C00188,alto_riesgo,616.96,6142.36,0.547,0,2.93,4858.8,42.7,bajo,0.0076,0,3,0.42047743571804297,0.6264890780254854
C00189,bajo_riesgo,722.88,15353.92,0.266,0,4.7,4084.63,28.6,medio,0.0006,0,2,0.04840763185607255,0.12613602822194847
C00190,alto_riesgo,531.35,3072.2,0.428,1,1.61,8212.02,57.5,bajo,0.0309,0,1,0.6344479636493237,0.6826934359790551
C00191,medio_riesgo,668.47,13054.49,0.194,0,2.38,1960.08,6.9,medio,0.0011,0,4,0.12475400501471963,0.17779585203073486
C00192,alto_riesgo,355.75,7015.89,0.539,1,0.0,7757.38,37.2,bajo,0.0273,0,1,0.6616519709323054,0.7079934370548799
C00193,bajo_riesgo,747.35,15436.64,0.182,0,4.3,1298.54,19.4,medio,0.0005,0,2,0.04089634484521334,0.06375262980284542
