ID_cliente,segmento_oculto,score_crediticio,ingresos_mensuales,uso_credito,historial_impagos,frecuencia_pago,saldo_actual,antiguedad_cliente,comportamiento_app,prob_impago,impago,cluster_kmeans
C00052,alto_riesgo,523.69,5022.26,0.797,1,1.94,4714.79,57.1,bajo,0.0333,0,5
C00053,alto_riesgo,600.73,6433.18,0.86,2,1.8,10891.85,9.4,bajo,0.0428,0,1
C00054,medio_riesgo,543.97,9055.15,0.418,1,5.83,2319.9,45.5,medio,0.0091,0,4
C00055,bajo_riesgo,769.06,17579.17,0.314,0,4.98,6128.18,7.9,alto,0.0004,0,0
C00056,bajo_riesgo,792.58,17416.04,0.065,0,5.87,3385.33,56.2,alto,0.0003,0,0
C00057,medio_riesgo,610.1,9052.57,0.174,0,4.58,3526.01,37.1,bajo,0.0028,0,3
C00058,medio_riesgo,567.86,8421.27,0.436,1,3.11,4426.88,7.7,medio,0.0098,0,4
C00059,alto_riesgo,407.84,3823.21,0.749,2,0.0,5290.6,18.0,bajo,0.1053,0,5
C00060,medio_riesgo,566.77,9973.79,0.286,0,2.14,1620.52,50.5,medio,0.003,0,4
C00061,bajo_riesgo,851.19,14902.04,0.172,0,5.87,786.76,43.0,medio,0.0004,0,2
C00062,medio_riesgo,654.81,8451.52,0.29,0,1.7,1767.55,54.5,medio,0.0032,0,4
C00063,medio_riesgo,640.96,10716.64,0.273,0,4.88,3302.66,23.9,medio,0.002,0,4
C00064,medio_riesgo,551.3,10599.64,0.297,0,0.0,2485.94,18.2,medio,0.0028,0,4
C00065,bajo_riesgo,744.84,14628.1,0.07,0,9.95,313.44,11.5,medio,0.0005,0,2
C00066,medio_riesgo,734.02,6640.32,0.336,1,2.0,8446.67,7.2,medio,0.0076,0,4
C00067,bajo_riesgo,786.87,17210.91,0.141,0,6.96,2271.47,14.9,medio,0.0003,0,2
C00068,bajo_riesgo,761.74,13569.73,0.137,0,5.5,17560.4,48.1,alto,0.0007,0,0
C00069,medio_riesgo,639.76,7591.12,0.134,0,0.0,451.0,46.9,bajo,0.0032,0,3
C00070,alto_riesgo,435.18,4220.86,0.49,0,2.09,3237.92,0.9,bajo,0.0178,0,3
C00071,alto_riesgo,535.1,2126.93,0.832,1,3.25,2730.75,21.2,bajo,0.0583,0,5
C00072,medio_riesgo,598.07,4585.7,0.372,2,0.0,1341.8,39.6,medio,0.0351,0,4
C00073,bajo_riesgo,788.29,13649.99,0.191,0,7.19,2564.13,20.1,alto,0.0007,0,0
C00074,bajo_riesgo,846.63,19704.76,0.34,0,7.06,992.84,2.6,medio,0.0002,0,2
C00075,bajo_riesgo,803.61,14346.12,0.144,0,3.13,1729.87,27.7,alto,0.0005,0,0
C00076,bajo_riesgo,831.13,11186.11,0.072,0,7.94,2227.95,35.8,alto,0.0008,0,0
C00077,alto_riesgo,497.74,5647.38,0.456,2,0.0,9198.97,40.1,bajo,0.0421,0,5
C00078,bajo_riesgo,789.92,10685.45,0.077,0,5.38,907.23,58.2,alto,0.001,0,0
C00079,medio_riesgo,627.31,10372.76,0.205,0,1.29,3666.66,22.3,medio,0.0021,0,4
C00080,bajo_riesgo,768.22,15746.92,0.082,0,4.32,1448.3,49.2,alto,0.0004,0,0
C00081,medio_riesgo,577.59,12995.68,0.13,1,4.39,943.99,47.7,medio,0.0027,0,4
C00082,bajo_riesgo,765.16,14660.65,0.089,0,5.45,2101.43,45.3,alto,0.0005,0,0
C00083,bajo_riesgo,837.83,14652.61,0.204,0,7.41,3336.5,32.5,medio,0.0005,0,2
C00084,bajo_riesgo,733.1,11976.8,0.099,0,5.2,3228.38,55.1,medio,0.001,0,2
C00085,medio_riesgo,617.43,8376.78,0.181,0,4.07,6620.93,4.4,bajo,0.0031,0,3
C00086,bajo_riesgo,707.52,15272.68,0.089,0,10.43,997.87,13.0,medio,0.0005,0,2
C00087,medio_riesgo,522.36,11560.69,0.41,0,4.78,1717.89,12.6,bajo,0.0029,0,3
C00088,bajo_riesgo,738.4,16814.23,0.037,0,8.12,2797.92,0.9,alto,0.0003,0,0
C00089,bajo_riesgo,777.65,14013.56,0.03,0,5.06,431.96,59.4,medio,0.0005,0,2
C00090,medio_riesgo,590.83,6143.34,0.286,0,5.06,1291.94,2.0,bajo,0.006,0,3
C00091,alto_riesgo,434.33,4033.49,0.45,4,1.36,12212.8,8.7,bajo,0.2279,1,5
C00092,bajo_riesgo,770.37,15133.04,0.011,0,3.79,2899.59,31.5,medio,0.0004,0,2
C00093,alto_riesgo,526.23,8261.36,0.655,1,0.14,9197.9,8.6,bajo,0.0149,0,1
C00094,alto_riesgo,346.72,5919.83,0.635,1,0.0,11879.38,48.7,bajo,0.0387,0,1
C00095,bajo_riesgo,803.81,15957.46,0.08,0,6.08,863.24,23.0,alto,0.0004,0,0
C00096,medio_riesgo,577.95,8914.61,0.531,0,2.26,4880.36,7.4,bajo,0.0048,0,3
C00097,alto_riesgo,412.53,6128.99,0.533,2,1.6,4750.34,23.7,bajo,0.0534,0,5
C00098,bajo_riesgo,823.13,12058.22,0.18,0,3.34,1308.47,15.0,alto,0.0008,0,0
C00099,bajo_riesgo,777.22,8453.39,0.317,0,7.04,2202.39,44.1,alto,0.0023,0,0
C00100,medio_riesgo,686.87,8422.4,0.401,1,4.19,3056.74,23.3,medio,0.0066,0,4
C00101,bajo_riesgo,785.43,15021.52,0.249,0,4.22,3147.51,52.8,alto,0.0005,0,0
C00102,alto_riesgo,466.9,6616.8,0.918,0,1.67,7276.54,20.3,bajo,0.0168,0,1
C00103,medio_riesgo,561.55,7702.14,0.188,0,6.71,2950.02,22.8,bajo,0.0043,0,3
C00104,bajo_riesgo,752.98,14959.47,0.014,0,7.35,3649.63,41.9,alto,0.0005,0,0
C00105,medio_riesgo,574.24,6875.67,0.378,1,5.08,593.0,10.6,medio,0.0122,0,4
C00106,medio_riesgo,630.54,11509.43,0.268,0,0.56,4441.79,43.1,bajo,0.0018,0,3
C00107,alto_riesgo,316.88,4780.8,0.892,1,0.62,911.92,17.3,bajo,0.07,0,5
C00108,medio_riesgo,548.31,9087.92,0.178,0,8.02,1418.19,4.5,medio,0.0033,0,4
C00109,medio_riesgo,593.92,11772.58,0.431,0,5.39,1069.2,53.9,bajo,0.0023,0,3
C00110,bajo_riesgo,771.86,18878.93,0.154,0,6.44,4413.01,31.3,alto,0.0002,0,0
C00111,bajo_riesgo,731.56,18794.13,0.112,0,7.41,349.48,43.0,alto,0.0003,0,0
C00112,bajo_riesgo,717.15,16732.63,0.107,0,2.42,7120.53,6.8,alto,0.0004,0,0
C00113,medio_riesgo,542.08,7687.58,0.358,1,1.61,1785.33,17.6,bajo,0.0112,0,3
C00114,bajo_riesgo,846.72,18610.71,0.169,0,5.13,3406.39,29.6,alto,0.0002,0,0
C00115,bajo_riesgo,745.78,16456.84,0.202,0,5.8,760.97,27.1,medio,0.0004,0,2
C00116,bajo_riesgo,806.6,17438.67,0.235,0,7.61,3507.64,53.9,medio,0.0003,0,2
C00117,medio_riesgo,617.93,11413.1,0.409,1,3.49,3822.52,53.8,medio,0.0045,0,4
C00118,bajo_riesgo,800.14,13906.69,0.118,0,5.09,5443.17,57.2,alto,0.0006,0,0
C00119,bajo_riesgo,823.11,12771.74,0.112,0,5.33,5332.94,0.3,alto,0.0006,0,0
C00120,medio_riesgo,697.31,8209.48,0.321,1,3.68,4852.1,5.3,bajo,0.0061,0,3
C00121,bajo_riesgo,744.65,9914.2,0.311,0,3.28,1649.2,9.0,alto,0.0018,0,0
C00122,bajo_riesgo,738.29,14915.13,0.3,0,6.87,2576.72,54.3,alto,0.0007,0,0
C00123,bajo_riesgo,765.44,18050.07,0.062,0,6.3,856.56,7.2,alto,0.0003,0,0
C00124,alto_riesgo,517.83,5155.25,0.639,1,1.51,2066.77,19.3,bajo,0.0274,0,5
C00125,bajo_riesgo,741.7,11760.97,0.056,0,7.26,2115.55,3.6,alto,0.0009,0,0
C00126,medio_riesgo,587.46,16082.3,0.183,2,0.58,2874.47,10.9,medio,0.003,0,4
C00127,bajo_riesgo,767.09,13129.79,0.201,0,7.4,1282.56,46.7,alto,0.0008,0,0
C00128,alto_riesgo,399.21,5073.34,0.702,1,0.41,7984.82,27.2,bajo,0.0423,0,1
C00129,medio_riesgo,569.78,11006.06,0.5,0,3.66,2023.19,11.4,medio,0.0031,0,4
C00130,medio_riesgo,622.36,7997.83,0.428,0,4.76,5187.88,51.1,bajo,0.0045,0,3
C00131,alto_riesgo,497.43,5054.78,0.818,1,6.4,1284.7,15.8,bajo,0.0366,0,3
C00132,bajo_riesgo,825.63,16760.72,0.467,0,4.04,863.77,33.2,alto,0.0004,0,0
C00133,bajo_riesgo,723.16,14006.46,0.047,0,7.59,4031.54,59.4,alto,0.0006,0,0
C00134,bajo_riesgo,730.45,16290.75,0.053,2,3.93,1933.73,8.8,medio,0.0016,0,2
C00135,medio_riesgo,559.98,10784.45,0.536,0,3.73,2246.4,53.3,bajo,0.0035,0,3
C00136,medio_riesgo,551.15,17935.32,0.189,0,1.83,1621.33,27.3,medio,0.0006,0,4
C00137,alto_riesgo,588.1,5516.43,0.725,0,2.59,2546.97,50.7,bajo,0.0116,0,3
C00138,bajo_riesgo,809.15,14615.95,0.16,0,9.35,2665.33,42.2,alto,0.0005,0,0
C00139,medio_riesgo,717.62,10230.66,0.067,1,1.44,5731.13,57.4,medio,0.0028,0,4
C00140,medio_riesgo,518.51,6780.58,0.302,0,3.85,1975.31,47.1,medio,0.0067,0,4
C00141,bajo_riesgo,772.74,20605.02,0.301,0,6.23,865.82,9.6,alto,0.0002,0,0
C00142,medio_riesgo,617.34,8824.88,0.462,0,3.25,2521.93,35.8,medio,0.004,0,4
C00143,medio_riesgo,602.08,8640.82,0.276,0,0.0,8183.03,53.2,medio,0.0035,0,4
C00144,bajo_riesgo,788.6,14601.43,0.247,0,5.07,961.06,6.4,medio,0.0006,0,2
C00145,bajo_riesgo,795.37,14639.52,0.167,0,5.55,4266.56,18.1,alto,0.0005,0,0
C00146,medio_riesgo,623.08,8177.17,0.226,0,5.12,2110.96,19.2,bajo,0.0034,0,3
C00147,medio_riesgo,662.04,4094.09,0.058,1,5.04,1834.09,38.6,medio,0.0111,0,4
C00148,alto_riesgo,575.66,2115.92,0.934,0,1.33,5164.68,57.8,bajo,0.0299,0,1
C00149,medio_riesgo,683.78,8729.39,0.494,2,2.32,5873.93,30.7,bajo,0.014,0,5
C00150,bajo_riesgo,802.42,12200.67,0.028,0,7.72,1224.52,44.0,alto,0.0007,0,0
C00151,bajo_riesgo,765.95,9996.68,0.189,0,6.2,6442.26,33.1,alto,0.0015,0,0
C00152,bajo_riesgo,790.81,13991.55,0.106,0,8.67,12577.36,39.1,alto,0.0006,0,0
C00153,bajo_riesgo,859.13,17168.63,0.41,0,4.76,2557.98,54.2,alto,0.0003,0,0
C00154,medio_riesgo,612.62,9359.54,0.537,0,1.33,2915.63,39.6,medio,0.004,0,4
C00155,bajo_riesgo,790.78,17421.11,0.296,0,5.12,2705.11,22.8,alto,0.0004,0,0
C00156,medio_riesgo,684.64,11697.99,0.463,1,4.29,2002.03,6.5,medio,0.0037,0,4
C00157,bajo_riesgo,775.2,17596.73,0.508,0,5.91,5586.01,0.3,alto,0.0005,0,0
C00158,alto_riesgo,423.59,4754.3,0.64,3,0.25,3405.19,39.8,bajo,0.1414,0,5
C00159,alto_riesgo,482.35,6018.23,0.775,0,2.17,12018.98,36.1,bajo,0.0152,0,1
C00160,bajo_riesgo,813.62,19434.6,0.117,0,7.61,812.14,12.7,medio,0.0002,0,2
C00161,medio_riesgo,555.54,10036.18,0.39,0,2.25,4164.34,8.5,bajo,0.0035,0,3
C00162,bajo_riesgo,822.24,17290.32,0.018,0,3.76,859.72,24.9,alto,0.0002,0,0
C00163,bajo_riesgo,767.46,15064.66,0.098,0,4.63,1208.17,27.7,alto,0.0005,0,0
C00164,medio_riesgo,642.43,9616.89,0.204,1,2.43,1177.26,26.2,medio,0.0047,0,4
C00165,alto_riesgo,397.89,5725.6,0.695,0,4.37,4988.99,14.8,bajo,0.0188,0,3
C00166,medio_riesgo,698.02,7818.31,0.437,2,1.75,4137.32,53.1,bajo,0.015,0,5
C00167,medio_riesgo,683.21,8186.63,0.173,2,2.82,1854.65,15.3,medio,0.0107,0,4
C00168,alto_riesgo,462.01,7882.42,0.77,1,0.0,18196.22,34.7,bajo,0.0221,0,1
C00169,alto_riesgo,497.89,10817.58,0.6,2,3.54,2276.29,20.9,bajo,0.0182,0,5
C00170,bajo_riesgo,741.69,11912.32,0.216,0,7.45,5352.81,24.7,alto,0.0011,0,0
C00171,bajo_riesgo,796.93,19248.48,0.242,1,6.15,3933.97,35.0,alto,0.0005,0,0
C00172,alto_riesgo,418.17,6233.66,0.471,2,1.21,1834.99,45.8,bajo,0.0481,1,5
C00173,alto_riesgo,564.59,1500.0,0.507,1,2.17,2083.07,56.0,bajo,0.0417,0,3
C00174,bajo_riesgo,805.87,21038.43,0.22,0,5.97,2810.79,6.3,alto,0.0001,0,0
C00175,bajo_riesgo,736.35,17629.04,0.042,0,4.32,2898.59,14.2,alto,0.0003,0,0
C00176,medio_riesgo,703.59,9440.79,0.189,0,3.71,4079.64,23.4,bajo,0.002,0,3
C00177,bajo_riesgo,792.03,19544.71,0.326,0,8.65,8261.66,17.9,alto,0.0002,0,0
C00178,medio_riesgo,572.23,10096.36,0.488,0,3.93,3347.23,29.6,bajo,0.0037,0,3
C00179,alto_riesgo,704.06,9759.97,0.601,1,6.61,3622.22,17.2,bajo,0.0061,0,3
C00180,medio_riesgo,529.35,9257.92,0.6,0,0.0,222.5,54.2,medio,0.0057,0,4
C00181,bajo_riesgo,764.56,19983.5,0.28,0,4.62,4373.0,35.4,medio,0.0002,0,2
C00182,alto_riesgo,487.73,6724.88,0.671,1,0.32,1895.57,46.5,bajo,0.0229,0,5
C00183,medio_riesgo,624.06,10598.8,0.396,1,2.69,1374.24,24.3,medio,0.0051,0,4
C00184,bajo_riesgo,797.79,12267.64,0.132,0,4.66,10330.79,29.0,alto,0.0008,0,0
C00185,medio_riesgo,716.13,14771.48,0.269,1,1.48,11653.08,1.6,medio,0.0015,0,4
C00186,bajo_riesgo,753.91,12859.08,0.167,0,4.18,3972.07,16.3,alto,0.0008,0,0
C00187,medio_riesgo,644.43,8403.93,0.305,1,1.78,772.72,28.0,medio,0.0067,0,4
C00188,alto_riesgo,616.96,6142.36,0.547,0,2.93,4858.8,42.7,bajo,0.0076,0,3
C00189,bajo_riesgo,722.88,15353.92,0.266,0,4.7,4084.63,28.6,medio,0.0006,0,2
C00190,alto_riesgo,531.35,3072.2,0.428,1,1.61,8212.02,57.5,bajo,0.0309,0,1
C00191,medio_riesgo,668.47,13054.49,0.194,0,2.38,1960.08,6.9,medio,0.0011,0,4
C00192,alto_riesgo,355.75,7015.89,0.539,1,0.0,7757.38,37.2,bajo,0.0273,0,1
C00193,bajo_riesgo,747.35,15436.64,0.182,0,4.3,1298.54,19.4,medio,0.0005,0,2
C00194,alto_riesgo,602.28,4284.74,0.548,1,0.0,8131.91,23.6,bajo,0.0228,0,1
C00195,alto_riesgo,523.16,7627.64,0.634,2,0.0,1357.91,46.6,bajo,0.0328,0,5
C00196,bajo_riesgo,719.62,7856.94,0.038,0,2.7,3341.32,39.4,medio,0.0022,0,4
C00197,alto_riesgo,510.41,6624.23,0.891,1,4.18,1732.58,26.5,bajo,0.0283,0,5
C00198,medio_riesgo,513.62,8888.89,0.366,1,3.56,8302.37,38.7,medio,0.0097,0,4
C00199,alto_riesgo,480.41,4214.44,0.372,1,3.13,10374.32,50.3,bajo,0.0269,0,1
C00200,bajo_riesgo,770.01,16893.42,0.038,0,7.69,394.53,14.4,alto,0.0003,0,0
C00201,bajo_riesgo,781.4,18047.65,0.22,0,2.96,4452.36,29.2,alto,0.0003,0,0
C00202,alto_riesgo,500.59,6462.75,0.615,2,0.14,1979.6,59.7,bajo,0.0428,0,5
C00203,medio_riesgo,561.59,12379.02,0.281,0,7.78,3500.72,2.2,medio,0.0019,0,2
C00204,bajo_riesgo,751.44,14968.9,0.049,0,6.57,1587.99,29.2,alto,0.0005,0,0
C00205,alto_riesgo,543.69,8522.11,0.529,1,3.66,2999.69,57.3,bajo,0.0115,0,3
C00206,bajo_riesgo,740.47,11903.32,0.169,0,1.83,3530.09,35.1,alto,0.0011,0,0
C00207,medio_riesgo,632.49,6251.12,0.483,0,6.32,10365.65,29.5,bajo,0.0066,0,1
C00208,alto_riesgo,378.3,4468.08,0.527,1,2.56,8701.32,26.9,bajo,0.0412,0,1
C00209,bajo_riesgo,819.14,15071.42,0.192,0,4.85,1255.62,35.0,alto,0.0005,0,0
C00210,alto_riesgo,403.93,7478.7,0.645,3,2.17,7389.92,42.1,bajo,0.0925,1,5
C00211,bajo_riesgo,720.72,19914.12,0.019,0,6.21,9813.65,35.9,alto,0.0002,0,0
C00212,medio_riesgo,595.1,11878.69,0.479,1,3.84,4994.98,5.2,medio,0.0048,0,4
C00213,bajo_riesgo,793.97,10782.55,0.157,0,6.29,1502.69,29.4,alto,0.0011,0,0
C00214,medio_riesgo,585.49,5708.02,0.579,1,4.43,1522.23,57.1,medio,0.0188,0,4
C00215,medio_riesgo,615.77,6910.59,0.536,0,1.32,4130.28,26.3,bajo,0.0065,0,3
C00216,bajo_riesgo,768.51,16523.96,0.13,0,7.41,2315.79,34.7,medio,0.0004,0,2
C00217,alto_riesgo,538.92,5117.63,0.712,2,2.26,3914.84,26.4,bajo,0.0554,0,5
C00218,bajo_riesgo,756.84,15593.68,0.092,1,4.45,9548.77,1.2,alto,0.0009,0,0
C00219,medio_riesgo,582.58,8758.18,0.333,0,6.7,2738.8,7.7,bajo,0.0039,0,3
C00220,bajo_riesgo,728.59,24710.67,0.009,0,7.16,3175.42,15.4,medio,0.0001,0,2
C00221,medio_riesgo,537.24,6595.46,0.305,0,7.42,1973.2,36.2,medio,0.0066,0,4
C00222,medio_riesgo,522.25,9139.66,0.369,1,3.3,913.58,27.7,bajo,0.009,0,3
C00223,bajo_riesgo,794.86,17520.26,0.022,0,3.92,4915.88,53.8,alto,0.0002,0,0
C00224,bajo_riesgo,794.15,15678.26,0.248,0,4.92,6003.52,31.4,medio,0.0005,0,2
C00225,bajo_riesgo,825.31,15461.69,0.1,0,7.44,2449.58,53.0,alto,0.0004,0,0
C00226,alto_riesgo,628.04,7392.51,0.75,2,3.85,11059.01,28.9,bajo,0.029,0,1
C00227,alto_riesgo,589.28,6887.35,0.461,2,3.69,3995.99,42.5,bajo,0.0255,0,5
C00228,alto_riesgo,533.51,5889.53,0.516,1,3.83,8975.62,26.8,bajo,0.0197,0,1
C00229,medio_riesgo,584.48,12039.33,0.311,1,5.85,5303.72,43.8,bajo,0.0039,0,3
C00230,bajo_riesgo,785.63,12450.62,0.382,0,5.57,1505.81,59.5,medio,0.0011,0,2
C00231,bajo_riesgo,748.85,10846.06,0.243,0,4.96,1235.65,25.5,alto,0.0014,0,0
C00232,medio_riesgo,616.63,13052.76,0.332,2,2.5,3823.55,12.0,bajo,0.006,0,5
C00233,bajo_riesgo,794.26,17525.06,0.068,0,0.0,3062.49,0.1,alto,0.0003,0,0
C00234,medio_riesgo,605.02,8403.23,0.193,0,1.67,1533.28,59.6,medio,0.0033,0,4
C00235,medio_riesgo,592.01,8146.88,0.451,2,0.0,2967.77,48.4,medio,0.0196,0,4
C00236,alto_riesgo,489.73,8229.85,0.574,2,3.49,8172.59,22.3,bajo,0.03,0,5
C00237,bajo_riesgo,750.14,13000.57,0.167,0,6.99,4224.91,21.8,alto,0.0008,0,0
C00238,medio_riesgo,710.82,4810.72,0.334,0,2.47,2864.78,8.9,medio,0.0058,0,4
C00239,bajo_riesgo,801.85,14221.98,0.154,0,7.5,1816.48,1.2,alto,0.0005,0,0
C00240,alto_riesgo,429.0,7156.29,0.547,1,1.98,2625.36,23.1,bajo,0.0216,0,5
C00241,bajo_riesgo,816.8,13758.69,0.119,0,7.94,2556.94,26.9,medio,0.0005,0,2
C00242,alto_riesgo,638.34,5240.89,0.78,7,0.0,4433.27,15.6,bajo,0.6042,0,5
C00243,bajo_riesgo,755.8,13498.29,0.212,0,5.86,2560.0,17.4,alto,0.0008,0,0
C00244,alto_riesgo,576.25,6907.88,0.777,1,2.73,6484.2,50.4,bajo,0.0193,0,1
C00245,medio_riesgo,590.26,8693.11,0.509,2,2.22,1239.93,51.8,medio,0.0189,0,4
C00246,bajo_riesgo,841.09,8543.24,0.059,0,6.26,2488.52,40.9,alto,0.0013,0,0
C00247,medio_riesgo,624.5,13560.63,0.279,0,4.32,2064.26,41.8,bajo,0.0012,0,3
C00248,bajo_riesgo,787.84,14618.79,0.043,0,4.86,3152.99,46.3,alto,0.0005,0,0
C00249,medio_riesgo,616.74,12246.67,0.255,0,0.04,8741.82,40.6,medio,0.0016,0,4
C00250,alto_riesgo,459.36,7412.0,0.597,3,0.91,2499.08,49.9,bajo,0.0762,0,5
C00251,alto_riesgo,424.39,2987.37,0.861,2,0.0,8833.77,1.8,bajo,0.1315,0,5
C00252,medio_riesgo,617.94,3993.2,0.291,2,2.49,9116.01,45.9,bajo,0.0338,0,1
C00253,alto_riesgo,523.88,4207.92,0.602,1,1.06,4874.98,40.0,bajo,0.031,0,5
C00254,bajo_riesgo,748.56,12525.6,0.131,0,8.98,1616.58,6.1,alto,0.0009,0,0
C00255,bajo_riesgo,729.4,19381.23,0.043,0,5.41,4212.53,55.7,medio,0.0002,0,2
C00256,medio_riesgo,617.55,11112.78,0.383,0,0.0,6280.33,11.0,medio,0.0023,0,4
C00257,alto_riesgo,553.9,6512.61,0.816,3,0.68,5401.13,33.3,bajo,0.0882,0,5
C00258,medio_riesgo,563.97,7410.68,0.489,1,4.58,944.32,1.5,bajo,0.0129,0,3
C00259,medio_riesgo,586.63,12554.86,0.478,1,0.72,5121.07,54.5,medio,0.0043,0,4
C00260,bajo_riesgo,763.21,18189.25,0.276,0,6.19,3490.45,55.0,medio,0.0003,0,2
C00261,alto_riesgo,346.5,8835.5,0.83,0,1.04,4359.01,52.9,bajo,0.0139,0,3
