ID_cliente,segmento_oculto,score_crediticio,ingresos_mensuales,uso_credito,historial_impagos,frecuencia_pago,saldo_actual,antiguedad_cliente,comportamiento_app,prob_impago,impago
C00138,medio_riesgo,659.71,9773.86,0.507,0,0.21,1011.84,51.1,medio,0.0031,0
C00139,medio_riesgo,648.45,6655.37,0.621,1,4.39,2686.9,23.2,bajo,0.0136,0
C00140,bajo_riesgo,770.86,13027.2,0.073,0,8.43,2345.58,52.7,alto,0.0007,0
C00141,alto_riesgo,531.75,6124.25,0.455,1,0.0,3125.75,43.0,bajo,0.0176,0
C00142,bajo_riesgo,799.21,15729.83,0.249,0,5.34,1125.05,54.5,alto,0.0005,0
C00143,bajo_riesgo,766.38,17660.58,0.142,0,1.13,3088.62,50.2,alto,0.0003,0
C00144,bajo_riesgo,794.22,12288.11,0.079,0,6.87,6227.92,1.7,medio,0.0007,0
C00145,bajo_riesgo,801.9,17758.69,0.152,0,4.01,12086.86,15.4,alto,0.0003,0
C00146,alto_riesgo,379.54,5651.11,0.79,1,4.22,3914.23,39.1,bajo,0.0444,0
C00147,alto_riesgo,444.35,5239.54,0.486,2,1.68,4650.03,49.0,bajo,0.0548,0
C00148,bajo_riesgo,697.16,21722.81,0.173,0,7.08,2230.32,51.9,alto,0.0002,0
C00149,medio_riesgo,555.95,6635.09,0.264,1,4.09,5602.86,45.6,bajo,0.0118,0
C00150,bajo_riesgo,752.84,19279.89,0.141,0,6.15,1282.6,6.5,alto,0.0002,0
C00151,bajo_riesgo,779.17,16369.77,0.292,1,1.98,391.41,3.4,medio,0.0009,0
C00152,alto_riesgo,613.96,9732.57,0.531,3,3.18,4885.06,38.1,bajo,0.0293,0
C00153,bajo_riesgo,789.4,15475.8,0.182,0,4.55,2448.68,18.2,alto,0.0005,0
C00154,bajo_riesgo,769.73,12211.35,0.386,1,4.15,2634.33,51.2,alto,0.0024,0
C00155,bajo_riesgo,782.93,21136.6,0.291,0,6.05,6775.37,43.9,alto,0.0002,0
C00156,alto_riesgo,361.84,4003.43,0.512,1,3.55,2237.96,57.5,bajo,0.0464,0
C00157,medio_riesgo,602.43,11742.63,0.241,0,1.85,3733.18,9.7,medio,0.0018,0
C00158,bajo_riesgo,743.73,10822.83,0.042,0,3.38,4747.78,59.4,medio,0.0011,0
C00159,bajo_riesgo,765.49,15212.57,0.349,0,5.14,7516.57,26.7,alto,0.0006,0
C00160,medio_riesgo,572.44,8193.7,0.324,1,2.01,3806.59,20.1,bajo,0.0089,0
C00161,alto_riesgo,443.54,6951.0,0.93,1,1.81,1715.62,36.7,bajo,0.0338,0
C00162,bajo_riesgo,747.0,16752.75,0.062,0,9.8,3231.73,52.3,alto,0.0003,0
C00163,bajo_riesgo,727.19,12843.03,0.214,0,7.01,4104.9,57.6,alto,0.001,0
C00164,alto_riesgo,531.4,5089.44,0.536,3,1.01,6673.2,32.3,bajo,0.0896,0
C00165,medio_riesgo,593.56,13227.45,0.32,0,2.59,2222.42,24.9,medio,0.0015,0
C00166,alto_riesgo,551.98,5305.17,0.408,1,5.81,2391.8,18.9,bajo,0.0184,0
C00167,bajo_riesgo,815.26,14700.87,0.074,0,6.28,4567.54,29.7,medio,0.0004,0
C00168,bajo_riesgo,748.85,16678.9,0.214,0,6.26,583.61,46.1,alto,0.0004,0
C00169,bajo_riesgo,765.04,12651.55,0.1,0,5.05,3855.57,2.1,alto,0.0008,0
C00170,alto_riesgo,579.77,5308.27,0.514,3,3.18,12583.95,44.9,bajo,0.0735,0
C00171,bajo_riesgo,816.86,12624.36,0.198,0,8.81,3949.91,8.3,alto,0.0008,0
C00172,alto_riesgo,428.72,6830.75,0.281,1,4.82,4409.6,46.4,bajo,0.0169,0
C00173,medio_riesgo,673.9,8742.27,0.224,0,6.07,6090.68,4.9,medio,0.0026,0
C00174,alto_riesgo,511.18,7517.43,0.661,3,0.85,447.25,8.6,bajo,0.0695,0
C00175,bajo_riesgo,719.66,19141.68,0.359,0,3.48,3201.78,42.2,alto,0.0003,0
C00176,bajo_riesgo,828.12,18604.64,0.04,0,6.91,1096.11,38.1,alto,0.0002,0
C00177,alto_riesgo,496.72,6073.95,0.634,1,5.29,6331.42,16.4,bajo,0.0243,0
C00178,medio_riesgo,541.91,10094.48,0.194,0,3.56,1839.85,31.1,medio,0.0028,0
C00179,bajo_riesgo,827.59,11443.61,0.223,0,4.4,1325.2,48.6,alto,0.001,0
C00180,bajo_riesgo,803.35,10961.25,0.087,0,8.52,965.79,29.3,alto,0.001,0
C00181,bajo_riesgo,745.66,15045.0,0.048,0,2.52,3887.98,22.1,alto,0.0005,0
C00182,medio_riesgo,681.54,9522.22,0.332,0,1.11,11796.34,23.2,medio,0.0025,0
C00183,bajo_riesgo,728.83,10619.02,0.223,0,6.52,1201.45,10.7,alto,0.0015,0
C00184,bajo_riesgo,754.4,18071.46,0.06,0,3.7,1207.44,46.3,alto,0.0003,0
C00185,medio_riesgo,609.35,10726.88,0.552,0,5.15,2208.85,28.6,medio,0.0031,0
C00186,bajo_riesgo,789.04,22765.43,0.094,0,5.01,3540.35,24.1,medio,0.0001,0
C00187,medio_riesgo,620.3,7481.64,0.256,1,6.8,4688.38,31.7,bajo,0.0082,0
C00188,alto_riesgo,683.76,5300.31,0.628,2,3.21,9026.09,38.7,bajo,0.0321,0
C00189,bajo_riesgo,779.16,17802.95,0.154,0,9.34,5429.32,19.2,medio,0.0003,0
C00190,medio_riesgo,604.3,10152.38,0.196,2,4.76,6212.51,41.8,medio,0.0094,0
C00191,medio_riesgo,501.98,9260.5,0.47,1,5.84,2880.59,7.5,bajo,0.0105,0
C00192,bajo_riesgo,758.38,17291.98,0.154,0,7.78,3125.97,48.2,alto,0.0003,0
C00193,medio_riesgo,480.06,9207.14,0.599,0,7.22,9313.51,16.9,medio,0.0066,0
C00194,alto_riesgo,504.41,7218.63,0.65,1,1.1,14602.27,11.5,bajo,0.0193,0
C00195,alto_riesgo,549.67,3081.84,0.768,3,3.39,2301.69,58.9,bajo,0.1553,0
C00196,bajo_riesgo,712.13,17265.54,0.11,0,5.02,2277.27,52.4,alto,0.0004,0
C00197,bajo_riesgo,823.77,13444.22,0.052,0,4.5,4610.34,39.6,alto,0.0005,0
C00198,bajo_riesgo,866.44,15507.67,0.118,0,4.3,4082.09,33.2,alto,0.0003,0
C00199,alto_riesgo,595.31,5284.23,0.676,0,1.24,3245.66,18.4,bajo,0.0112,0
C00200,medio_riesgo,680.34,3223.3,0.12,0,5.36,1892.0,38.1,medio,0.0068,0
C00201,medio_riesgo,674.64,11254.48,0.211,2,2.36,2679.77,16.9,medio,0.0062,0
C00202,medio_riesgo,689.85,9088.79,0.547,0,3.09,7317.29,26.8,medio,0.0034,0
C00203,bajo_riesgo,746.48,12746.62,0.127,0,5.62,1198.8,34.1,alto,0.0008,0
C00204,bajo_riesgo,777.85,10458.66,0.399,0,5.85,2203.14,14.3,alto,0.0017,0
C00205,bajo_riesgo,816.56,19491.46,0.225,0,7.79,2568.37,36.6,medio,0.0002,0
C00206,medio_riesgo,578.63,4895.31,0.224,0,1.18,2863.53,14.6,bajo,0.0074,0
C00207,medio_riesgo,660.45,4434.81,0.54,1,1.74,6080.02,9.0,medio,0.0185,0
C00208,alto_riesgo,558.49,3272.55,0.6,0,0.0,8290.64,48.1,bajo,0.017,0
C00209,alto_riesgo,673.76,7191.52,0.51,2,3.32,6373.07,41.4,bajo,0.0199,0
C00210,bajo_riesgo,763.82,13553.39,0.061,1,3.76,12628.98,17.0,medio,0.0013,0
C00211,alto_riesgo,492.92,1500.0,0.647,0,0.0,5225.13,44.0,bajo,0.0307,0
C00212,bajo_riesgo,708.32,16029.55,0.226,0,7.29,274.16,11.2,alto,0.0005,0
C00213,alto_riesgo,520.34,1785.82,0.706,1,3.05,2027.49,44.1,bajo,0.0562,0
C00214,medio_riesgo,591.31,9204.5,0.268,1,1.94,4924.65,0.5,medio,0.0064,0
C00215,alto_riesgo,547.72,5763.21,0.85,0,3.94,1687.17,1.0,bajo,0.0144,0
C00216,alto_riesgo,300.0,6601.16,0.948,2,1.91,337.47,4.7,bajo,0.1059,0
C00217,bajo_riesgo,770.04,15728.95,0.123,0,7.03,3885.79,26.6,alto,0.0004,0
C00218,medio_riesgo,540.7,4668.4,0.251,1,2.56,3891.99,10.8,medio,0.0179,0
C00219,bajo_riesgo,790.94,22099.02,0.119,0,6.79,919.78,45.3,alto,0.0001,0
C00220,bajo_riesgo,787.56,15459.58,0.222,0,9.37,2851.22,57.8,medio,0.0005,0
C00221,bajo_riesgo,821.41,17604.28,0.191,0,6.48,1429.54,28.0,alto,0.0003,0
C00222,bajo_riesgo,741.86,18429.19,0.081,0,5.29,1543.8,35.7,alto,0.0003,0
C00223,bajo_riesgo,799.13,23260.33,0.176,0,3.92,809.24,20.3,alto,0.0001,0
C00224,bajo_riesgo,774.32,12308.96,0.162,0,4.76,2095.32,25.0,alto,0.0009,0
C00225,medio_riesgo,637.49,8850.44,0.397,0,3.02,5114.59,37.6,bajo,0.0035,0
C00226,medio_riesgo,720.32,5448.13,0.52,1,5.83,1272.97,32.2,medio,0.0124,0
C00227,medio_riesgo,688.47,11070.51,0.41,1,5.59,3412.77,18.6,medio,0.0039,0
C00228,alto_riesgo,636.06,5950.11,0.31,1,6.89,20025.61,14.9,bajo,0.0112,0
C00229,alto_riesgo,407.51,4145.96,0.678,1,0.44,3778.75,36.9,bajo,0.048,0
C00230,alto_riesgo,508.59,4607.71,0.571,1,0.0,7061.62,54.8,bajo,0.029,0
C00231,bajo_riesgo,882.43,15719.08,0.073,0,4.35,8160.78,2.6,medio,0.0003,0
C00232,alto_riesgo,300.0,3493.58,0.673,0,0.0,1683.51,5.0,bajo,0.0376,0
C00233,bajo_riesgo,793.07,10552.07,0.293,0,6.32,1962.61,12.5,alto,0.0014,0
C00234,medio_riesgo,621.91,10520.92,0.454,0,3.52,1895.26,40.9,bajo,0.0028,0
C00235,medio_riesgo,636.5,4481.62,0.386,1,8.23,577.6,4.7,medio,0.0164,0
C00236,bajo_riesgo,816.97,14243.15,0.315,0,11.05,2244.36,53.7,alto,0.0006,0
C00237,medio_riesgo,651.88,10350.28,0.647,0,5.44,1531.16,23.1,medio,0.0033,0
C00238,bajo_riesgo,792.88,14366.45,0.234,0,6.25,2154.93,9.2,alto,0.0006,0
C00239,alto_riesgo,509.72,4794.32,0.874,1,1.7,10133.81,40.6,bajo,0.0396,1
C00240,medio_riesgo,688.38,9876.59,0.696,2,1.68,4507.96,58.7,medio,0.014,0
C00241,alto_riesgo,726.26,9940.22,0.431,2,0.0,9126.47,44.0,bajo,0.009,0
C00242,medio_riesgo,668.66,7223.15,0.379,0,3.61,10425.72,25.8,medio,0.0043,0
C00243,bajo_riesgo,696.09,17275.88,0.418,0,7.69,1381.79,54.6,alto,0.0006,0
C00244,bajo_riesgo,729.83,17595.62,0.308,0,9.31,925.41,20.6,alto,0.0004,0
C00245,bajo_riesgo,824.5,12122.99,0.512,0,9.8,1841.35,10.4,medio,0.0012,0
C00246,alto_riesgo,543.35,4538.89,0.579,0,2.65,16671.13,58.7,bajo,0.0135,0
C00247,bajo_riesgo,776.65,7113.83,0.143,0,4.54,152.1,43.4,medio,0.0024,0
C00248,bajo_riesgo,841.37,11563.59,0.259,1,7.78,4975.91,14.2,alto,0.0019,0
C00249,medio_riesgo,639.25,13015.13,0.287,0,7.85,3808.23,36.9,bajo,0.0013,0
C00250,medio_riesgo,655.66,10271.87,0.164,1,4.87,827.93,38.6,medio,0.0038,0
C00251,bajo_riesgo,776.39,11638.19,0.434,0,3.48,2035.74,24.2,alto,0.0014,0
C00252,medio_riesgo,709.54,6830.5,0.53,0,1.0,2091.86,42.5,medio,0.0049,0
C00253,bajo_riesgo,749.14,9763.39,0.163,0,8.03,4156.27,20.5,alto,0.0016,0
C00254,alto_riesgo,442.76,7799.66,0.522,3,3.41,6459.11,25.2,bajo,0.0684,0
C00255,alto_riesgo,569.73,9791.21,0.358,0,1.04,4846.8,59.8,bajo,0.0034,0
C00256,medio_riesgo,485.32,6993.25,0.377,0,2.55,3028.42,58.7,bajo,0.0078,0
C00257,alto_riesgo,410.99,6504.17,0.626,1,1.25,12167.97,6.3,bajo,0.0284,0
C00258,medio_riesgo,545.19,13488.41,0.204,0,5.92,4297.08,33.5,medio,0.0014,0
C00259,bajo_riesgo,787.23,13449.42,0.211,0,3.87,5105.83,12.7,medio,0.0007,0
C00260,alto_riesgo,314.67,4678.2,0.823,2,4.02,5810.63,17.1,bajo,0.1254,0
C00261,medio_riesgo,558.08,10705.83,0.453,1,2.13,7088.41,41.3,bajo,0.0066,0
C00262,alto_riesgo,450.79,4090.74,0.913,0,2.54,2391.0,44.8,bajo,0.0286,0
C00263,medio_riesgo,616.53,7696.05,0.158,0,4.71,7217.43,19.4,medio,0.0035,0
C00264,bajo_riesgo,764.5,19264.47,0.23,0,5.27,3475.34,33.5,alto,0.0002,0
C00265,alto_riesgo,479.75,7839.38,0.692,3,0.82,22550.46,39.5,bajo,0.074,0
C00266,medio_riesgo,617.1,6585.52,0.351,1,6.16,11293.0,31.3,bajo,0.011,0
C00267,bajo_riesgo,800.06,18747.34,0.067,1,5.48,175.93,0.1,medio,0.0004,0
C00268,medio_riesgo,563.86,6586.35,0.272,0,4.9,2298.54,6.5,medio,0.0059,0
C00269,alto_riesgo,498.4,4399.93,0.889,2,1.87,1713.51,5.8,bajo,0.0864,0
C00270,bajo_riesgo,768.79,13986.92,0.146,1,5.46,7979.35,23.1,medio,0.0013,0
C00271,bajo_riesgo,753.72,12644.64,0.028,0,4.75,7587.04,26.2,alto,0.0007,0
C00272,bajo_riesgo,766.13,17747.58,0.134,0,7.46,8117.0,19.5,alto,0.0003,0
